t,Joint1^Left,Joint2^Left,Joint3^Left,Joint3_2^Left,Joint5_1_1^Left,Joint5_2_1^Left,Joint7^Left,thumb_1_left,thumb_2_left,thumb_3_left,index_1_left,index_2_left,middle_1_left,middle_2_left,ring_1_left,ring_2_left,little_1_left,little_2_left,Joint1^Right,Joint2^Right,Joint3^Right,Joint3_2^Right,Joint5_1_1^Right,Joint5_2_1^Right,Joint7^Right,thumb_1_right,thumb_2_right,thumb_3_right,index_1_right,index_2_right,middle_1_right,middle_2_right,ring_1_right,ring_2_right,little_1_right,little_2_right
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0,-0.0001,0.0,0.0,-0.0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0001,-0.0,-0.0001,0.0,0.0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
0.0,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001,0.0,0.0,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0002,-0.0001,-0.0002,0.0,0.0,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0,-0.0002,-0.0002,-0.0002,0.0,0.0,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0,-0.0004,-0.0001,-0.0003,0.0,0.0,-0.0003,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004
0.0,0.0006,0.0,0.0,0.0003,0.0,0.0,0.0,-0.0003,-0.0003,-0.0003,0.0,0.0,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,0.0006,0.0,0.0,0.0003,0.0,0.0,0.0,-0.0005,-0.0002,-0.0005,0.0,0.0,-0.0004,-0.0006,-0.0005,-0.0005,-0.0005,-0.0005
0.0,0.0008,0.0,0.0,0.0004,0.0,0.0,0.0,-0.0003,-0.0003,-0.0004,0.0,0.0,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,0.0008,0.0,0.0,0.0004,0.0,0.0,0.0,-0.0007,-0.0003,-0.0006,0.0,0.0,-0.0006,-0.0008,-0.0007,-0.0007,-0.0007,-0.0007
0.0,0.001,0.0,0.0,0.0005,0.0,0.0,0.0,-0.0005,-0.0005,-0.0006,0.0,0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0.0,0.0,0.0005,0.0,0.0,0.0,-0.0009,-0.0003,-0.0008,0.0,0.0,-0.0008,-0.001,-0.001,-0.001,-0.001,-0.001
0.0,0.0013,0.0,0.0,0.0007,0.0,0.0,0.0,-0.0006,-0.0006,-0.0007,0.0,0.0,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,0.0013,0.0,0.0,0.0007,0.0,0.0,0.0,-0.0011,-0.0004,-0.001,0.0,0.0,-0.001,-0.0013,-0.0012,-0.0012,-0.0012,-0.0012
0.0,0.0016,0.0,0.0,0.0008,0.0,0.0,0.0,-0.0007,-0.0007,-0.0009,0.0,0.0,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,0.0016,0.0,0.0,0.0008,0.0,0.0,0.0,-0.0014,-0.0005,-0.0013,0.0,0.0,-0.0012,-0.0016,-0.0015,-0.0015,-0.0015,-0.0015
0.0,0.0019,0.0,0.0,0.001,0.0,0.0,0.0,-0.0009,-0.0009,-0.0011,0.0,0.0,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,0.0019,0.0,0.0,0.001,0.0,0.0,0.0,-0.0017,-0.0006,-0.0015,0.0,0.0,-0.0015,-0.0019,-0.0018,-0.0018,-0.0018,-0.0018
0.0,0.0023,0.0,0.0,0.0012,0.0,0.0,0.0,-0.001,-0.001,-0.0013,0.0,0.0,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,0.0023,0.0,0.0,0.0012,0.0,0.0,0.0,-0.002,-0.0007,-0.0018,0.0,0.0,-0.0018,-0.0022,-0.0021,-0.0021,-0.0021,-0.0021
