Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.1526E-15,1.027E-15,0.26574,0,0,0,45.924,6.2908,4.5464E-16,2.0411E-15,6.2904,6.0847E-15,2.9728,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/base_link.STL,,Base0725-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link0^Left,2.1253E-05,0.078315,1.5546,0,0,0,0.45787,0.00076025,2.3056E-07,1.2022E-09,0.00098087,-6.1179E-05,0.0005114,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link0^Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link0^Left.STL,,Link0^Left_0725-1,坐标系base,基准轴0^Left,JointFixed^Left,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link1^Left,-3.63876977584887E-05,-0.0974979701434552,-0.129114620173472,0,0,0,0.353623516106527,0.00106578521671812,-4.11705054181021E-07,-4.01076452410487E-07,0.00103565292127899,-0.000295739852313399,0.000399038734362151,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link1^Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link1^Left.STL,,Link1^Left_0725-1,坐标系0^Left,基准轴0^Left,Joint0^Left,revolute,0,0.1065,1.575,1.5708,1.5708,0,Link0^Left,0,0,1,0,0,0,0,,,,,,,,
Link2^Left,-0.00842998000481865,-0.0379344144992082,0.0628649558825065,0,0,0,0.223746412830096,0.000893404312347924,3.36095045308896E-05,2.12476540310004E-05,0.000310026482210304,-5.70923109378427E-05,0.000649262156979358,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link2^Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link2^Left.STL,,Link2^Left_0725-1,坐标系1^Left,基准轴1^Left,Joint1^Left,revolute,0,-0.08,-0.1475,-1.5708,0,0,Link1^Left,0,0,1,0,0,0,0,,,,,,,,
Link3^Left,0.012006894473672,-0.00267784696148086,0.0483824863987156,0,0,0,0.555675458268382,0.00103017414569562,-5.72205411264766E-07,2.35211988620094E-05,0.000962186535231744,-6.26865132400071E-06,0.00037032556455996,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3^Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3^Left.STL,,Link3^Left_0725-1,坐标系2^Left,基准轴2^Left,Joint2^Left,revolute,0,0,0.08,-1.5708,0,-1.5708,Link2^Left,0,0,1,0,0,0,0,,,,,,,,
Link3_2^Left,0.0350124601129469,-0.00114042227373007,0.00310728421311662,0,0,0,0.0556281886965311,2.80612807689176E-05,-8.26249564877064E-10,4.17128869087329E-12,9.40930615152859E-05,7.75844048613954E-11,0.000122091774808251,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3_2^Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3_2^Left.STL,,Link3_2^Left_0725-1,坐标系3^Left,基准轴3^Left,Joint3^Left,revolute,0,0,0.26454,0,-1.5708,0,Link3^Left,0,0,-1,0,0,0,0,,,,,,,,
Link4^Left,0.041802785312962,-0.00152142773605327,-0.0131182273792191,0,0,0,0.107211831341332,9.64597540104655E-05,-1.00917917352336E-05,-1.71248629293491E-06,0.000117569463015571,-1.6284651206542E-06,0.000135080616076646,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link4^Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link4^Left.STL,,Link4^Left_0725-1,坐标系3_2^Left,基准轴3_2^Left,Joint3_2^Left,revolute,0.07,0,0,0,0,0,Link3_2^Left,0,0,1,0,0,0,0,,,,,,,,
Link5_1_1^Left,-0.0042735188070786,-3.26507806647225E-05,-0.0183750350349576,0,0,0,0.00124082856776653,3.52923836371284E-08,4.93234873228288E-10,-1.79808417104998E-09,4.90854967426081E-08,3.49032179952452E-11,7.999459312712E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_1^Left.STL,1,1,1,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_1^Left.STL,,Link5_1_1^Left_0725-1,坐标系4_1^Left,基准轴4_1^Left,Joint4_1^Left,revolute,0.163,0,0,-1.5708,0,0,Link4^Left,0,0,1,0,0,0,0,,,,,,,,
Link5_1_2^Left,0.0234999997381538,0.0174999998689535,0.010899272045673,0,0,0,0.00144499140546943,2.35270805734644E-07,-2.24047465655006E-07,1.62931238729003E-15,2.7357325744294E-07,1.09149948877544E-15,4.69310065255628E-07,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_2^Left.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_2^Left.STL,,Link5_1_2^Left_0725-1,坐标系5_1_1^Left,基准轴5_1_1^Left,Joint5_1_1^Left,revolute,0.008,0,-0.0175,1.5708,0,0,Link5_1_1^Left,0,0,-1,0,0,0,0,,,,,,,,
Link5_1_3^Left,0.00329344697522221,0.000476060151514912,0.000135123950045113,0,0,0,0.000834428372209605,4.8647361856511E-09,-1.12111246025282E-09,3.71340288566956E-10,1.51091607176433E-08,5.36763808158103E-11,1.512466108712E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_3^Left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_3^Left.STL,,Link5_1_3^Left_0725-1,坐标系5_1_2^Left,基准轴5_1_2^Left,Joint5_1_2^Left,revolute,0.047,0.035,0,0,0,0,Link5_1_2^Left,0,0,1,0,0,0,0,,,,,,,,
